country,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,family_size,stress_score,anxiety_score,depression_score,stress_category,anxiety_category,depression_category
MY,3,7,6,5,5,4,3,6,2,4,4,3,1,2,24,2,10,2,10,2,1,1,21,13,16,2,2,2
MY,4,4,5,5,6,7,5,6,3,5,2,3,2,2,18,1,10,1,10,2,1,4,26,32,20,3,4,2
MY,4,4,7,5,6,3,5,1,6,3,3,1,2,1,20,1,10,1,10,2,1,5,27,31,32,3,4,4
US,4,6,5,6,4,3,5,7,2,7,2,3,2,1,15,1,7,2,60,2,1,2,42,41,40,4,4,4
MY,6,4,5,6,4,3,6,4,3,5,3,1,2,2,23,1,10,1,10,2,1,5,15,12,10,1,2,1
US,5,5,7,5,4,2,4,2,2,2,3,3,2,1,20,2,7,2,30,1,1,2,23,8,6,2,1,0
US,7,5,7,5,6,2,6,2,4,3,1,3,2,1,16,1,2,1,10,2,1,3,22,18,8,2,3,0
US,4,5,7,5,3,6,7,2,4,2,2,2,2,1,16,1,2,1,30,2,1,4,6,4,35,0,0,4
US,2,7,6,5,4,6,5,6,1,4,1,2,2,1,16,1,7,2,60,2,1,3,33,16,36,3,3,4
US,1,1,6,7,5,6,5,2,4,3,3,3,2,1,19,1,7,1,30,1,1,2,10,6,12,0,0,1
AE,2,2,4,5,5,1,4,4,5,1,3,1,1,2,30,1,10,1,10,2,2,3,10,12,6,0,2,0
US,1,4,3,5,2,7,2,4,1,7,2,2,2,1,16,1,2,1,70,2,1,5,22,28,28,2,4,4
NONE,3,5,7,5,4,5,6,6,3,4,2,3,3,1,14,1,4,2,70,2,1,6,30,26,38,3,4,4
MY,6,7,3,6,2,1,7,7,1,4,4,2,2,2,21,1,10,1,70,2,1,3,27,26,27,3,4,3
MY,4,4,5,6,7,5,6,5,5,3,3,3,1,1,21,1,10,1,10,2,1,4,23,24,13,2,4,1
MY,3,4,6,7,5,5,5,6,2,4,3,1,2,2,21,1,10,2,60,2,1,6,38,37,36,4,4,4
US,5,6,2,6,7,1,2,6,1,4,3,2,2,1,29,1,2,1,60,1,1,2,17,3,22,1,0,3
MY,4,5,6,7,6,2,5,7,3,4,3,1,2,2,22,2,10,0,10,0,1,0,19,8,6,2,1,0
MY,4,2,6,6,5,1,5,2,1,2,3,2,2,2,22,2,10,1,10,2,1,2,23,21,23,2,4,3
MY,5,4,6,6,4,5,6,2,2,4,2,3,2,2,19,1,10,2,10,2,1,7,19,10,27,2,2,3
MY,7,5,7,5,7,1,7,3,6,1,3,3,2,2,19,2,10,1,10,2,1,4,5,0,0,0,0,0
US,6,5,7,6,5,4,2,4,3,2,2,2,2,1,22,1,7,1,70,1,1,5,19,13,9,2,2,0
US,3,7,2,5,7,3,3,6,4,1,2,2,1,1,20,2,7,2,60,1,1,1,30,8,31,3,1,4
US,5,6,3,7,2,6,6,5,1,7,1,2,2,1,15,1,4,1,10,2,1,0,29,18,36,3,3,4
MY,5,3,5,6,6,6,6,5,3,6,3,1,2,2,21,1,10,5,70,2,1,5,13,13,8,0,2,0
MY,2,3,3,5,1,5,3,3,3,4,3,1,2,2,21,1,10,1,10,2,1,5,22,22,31,2,4,4
MY,1,7,1,7,1,7,7,7,1,7,2,2,2,2,18,1,10,1,10,2,1,3,42,42,42,4,4,4
MY,4,6,5,6,6,6,6,3,2,2,2,3,2,2,18,1,10,2,10,2,1,3,28,30,22,3,4,3
US,1,6,6,7,2,7,1,5,7,7,4,3,2,2,24,1,10,1,10,2,1,6,33,12,38,3,2,4
MY,5,5,5,5,4,7,4,5,4,5,3,3,2,2,22,1,10,1,10,2,1,3,28,14,25,3,2,3
MY,6,3,5,7,6,2,7,1,4,2,4,2,1,2,24,1,10,1,10,2,1,4,10,10,6,0,2,0
US,1,7,2,7,4,7,1,7,1,2,3,1,2,1,21,1,2,2,60,1,1,1,37,13,40,4,2,4
MY,4,5,6,6,4,3,6,2,4,3,4,2,2,2,24,1,10,1,10,1,1,4,14,8,8,0,1,0
US,4,4,5,5,5,6,6,4,3,6,2,3,2,2,14,1,4,1,70,2,1,5,21,17,31,2,3,4
US,2,3,2,5,5,6,7,4,2,4,3,3,2,1,21,2,2,5,60,1,1,3,16,5,36,1,0,4
US,4,4,6,5,5,7,6,3,3,6,2,3,2,2,14,1,4,1,70,2,1,5,25,20,38,2,4,4
MY,5,6,5,6,6,5,6,5,2,3,3,2,2,2,22,1,10,1,10,2,1,6,24,26,32,2,4,4
MY,4,4,6,4,6,7,6,4,4,2,3,2,1,2,22,1,10,1,10,2,1,7,13,11,4,0,2,0
MY,3,1,6,4,4,2,7,5,7,7,2,3,2,2,18,1,10,1,10,2,1,5,18,13,14,1,2,2
US,1,3,5,6,5,6,5,3,5,3,4,3,2,1,32,1,1,3,60,1,2,4,12,6,13,0,0,1
CA,1,5,5,5,7,7,2,5,4,2,2,0,1,1,20,1,2,2,50,2,1,3,15,11,29,1,2,4
MY,5,5,7,5,5,5,6,5,5,5,4,3,2,2,23,1,10,1,10,2,1,4,21,19,20,2,3,2
PH,6,5,5,5,6,1,6,5,5,2,1,3,2,2,15,2,4,3,10,2,2,2,11,4,16,0,0,2
MY,3,6,7,7,3,2,7,6,3,7,3,3,2,2,21,1,10,3,70,2,1,3,17,14,15,1,2,2
MY,2,5,4,4,3,1,2,6,5,5,3,2,1,2,18,1,10,1,10,2,1,2,18,9,25,1,1,3
MY,5,2,6,6,7,1,3,5,3,6,2,3,2,1,17,1,10,1,10,2,1,4,13,14,7,0,2,0
MY,5,5,5,6,6,5,6,5,3,5,2,2,2,2,18,1,10,2,10,2,1,7,18,13,5,1,2,0
MY,4,0,5,7,0,0,0,0,0,6,2,1,1,2,21,1,10,1,10,2,1,5,40,35,38,4,4,4
MY,6,6,5,6,7,7,7,7,6,6,3,2,2,2,28,1,10,5,70,1,1,2,20,11,22,2,2,3
MY,2,3,5,6,2,6,7,4,4,4,4,2,2,2,25,1,10,1,10,2,1,3,10,8,17,0,1,2
CA,7,3,2,1,6,2,6,6,6,2,2,3,1,1,19,1,1,1,60,2,1,2,4,4,12,0,0,1
MY,5,5,6,7,5,3,3,5,3,5,3,1,2,2,19,1,10,1,10,2,1,4,8,5,10,0,0,1
US,5,5,1,7,6,4,3,7,1,2,2,2,2,1,28,1,1,3,60,2,1,3,30,6,21,3,0,3
MY,2,4,5,2,4,6,7,2,6,2,1,3,2,2,13,1,10,0,10,2,1,4,9,16,8,0,3,0
MY,4,4,7,7,1,5,7,2,1,4,3,3,2,2,18,1,10,0,10,2,1,3,33,34,38,3,4,4
MY,5,6,7,6,6,2,5,6,7,3,2,3,2,1,16,1,10,1,70,2,1,0,20,11,18,2,2,2
MY,6,5,6,2,7,4,6,4,6,2,3,3,2,2,24,2,10,1,10,2,1,4,17,17,23,1,3,3
MY,3,4,6,3,5,3,6,6,5,5,3,3,2,2,19,1,10,1,10,2,1,4,13,11,7,0,2,0
MY,5,3,6,6,7,7,7,4,5,4,3,3,2,1,19,1,10,5,10,2,1,4,10,1,6,0,0,0
MY,6,5,6,2,5,1,6,1,6,5,3,3,2,2,19,1,10,1,10,2,1,9,10,8,5,0,1,0
MY,1,2,3,7,2,5,5,6,4,4,2,3,2,2,21,1,12,1,10,2,1,2,32,23,33,3,4,4
MY,6,4,6,5,7,2,6,4,6,4,3,1,2,2,19,2,10,1,10,2,1,5,15,10,15,1,2,2
MY,2,3,6,6,4,7,5,5,3,3,2,2,2,2,23,1,10,4,10,2,1,5,30,31,31,3,4,4
NONE,5,5,6,7,5,7,5,7,7,5,3,3,2,1,20,1,10,4,10,2,1,5,21,17,19,2,3,2
MY,5,4,5,5,6,7,7,7,6,6,3,2,2,2,26,1,10,1,10,2,1,4,5,6,9,0,0,0
MY,4,1,7,5,5,6,7,2,4,4,3,3,2,1,19,1,10,0,10,2,1,4,21,25,21,2,4,3
MY,4,4,4,7,4,1,7,4,1,5,3,3,2,2,21,2,10,1,10,2,1,4,19,10,17,2,2,2
MY,5,5,7,6,6,4,6,3,2,1,3,3,1,1,21,1,10,1,10,2,1,4,32,13,38,3,2,4
ID,3,5,6,6,5,4,4,4,4,4,3,2,2,2,21,1,10,2,10,2,1,11,15,16,6,1,3,0
MY,4,2,7,6,4,7,6,2,5,5,4,2,2,2,24,2,10,3,10,2,1,3,8,9,8,0,1,0
MY,5,5,5,6,5,7,6,6,4,5,3,2,2,2,28,1,10,1,10,1,1,4,26,22,16,3,4,2
MY,4,3,2,7,4,4,5,6,5,4,2,3,2,2,19,2,10,1,10,2,1,5,35,25,31,4,4,4
ID,4,4,3,5,5,3,6,3,5,4,2,3,2,2,20,1,10,1,70,2,1,2,12,7,5,0,0,0
MY,2,1,2,7,7,7,5,4,2,4,3,1,2,2,23,1,10,1,10,2,1,3,27,21,27,3,4,3
MY,3,3,3,6,5,6,5,5,6,6,2,1,2,2,21,1,10,0,10,2,1,4,19,20,17,2,4,2
MY,5,5,7,5,5,5,6,2,3,6,2,3,2,2,21,1,10,1,10,2,1,5,5,1,0,0,0,0
MY,4,2,4,6,5,7,5,4,4,4,2,2,2,2,17,1,0,0,10,2,1,5,17,16,13,1,3,1
MY,4,4,6,3,6,4,4,4,5,2,3,1,2,2,22,1,10,1,10,2,1,6,5,7,0,0,0,0
MY,3,2,5,5,6,4,5,5,5,5,3,1,0,1,20,1,10,2,10,2,1,9,15,10,14,1,2,2
MY,5,1,5,5,5,5,5,5,5,4,1,1,2,2,16,1,10,1,10,1,1,2,6,3,2,0,0,0
MY,4,3,7,4,7,6,7,5,5,6,4,1,2,1,23,1,10,1,10,2,1,3,6,9,16,0,1,2
MY,1,5,4,5,5,7,6,3,4,7,3,3,2,2,23,1,10,1,10,2,1,3,25,18,25,2,3,3
MY,3,6,2,3,6,7,6,6,5,1,3,3,1,2,22,1,10,1,10,2,1,2,4,7,4,0,0,0
MY,5,5,6,6,4,5,6,4,3,7,3,3,2,2,19,1,10,5,10,2,3,5,20,18,12,2,3,1
MY,5,4,6,5,6,7,4,4,4,2,3,3,2,2,21,1,12,2,10,2,1,2,21,6,16,2,0,2
MY,5,6,6,7,5,1,6,6,2,3,3,3,2,2,23,1,10,1,10,2,1,5,31,26,32,3,4,4
MY,5,6,6,3,7,4,4,1,6,2,4,1,2,2,23,1,10,1,10,2,1,4,8,11,2,0,2,0
DE,1,6,5,6,2,7,5,5,2,5,2,2,2,2,17,1,4,2,60,2,1,3,20,12,20,2,2,2
ID,1,4,7,7,4,7,7,7,5,4,2,3,2,2,20,1,3,1,10,1,0,1,41,32,42,4,4,4
MY,2,5,5,6,5,2,7,2,4,4,4,3,2,1,22,1,10,1,10,2,1,4,16,3,5,1,0,0
MY,2,6,4,6,4,4,7,3,2,6,3,3,2,2,20,1,10,1,10,2,1,5,37,33,39,4,4,4
MY,5,6,1,3,7,3,3,3,6,1,4,3,1,2,24,2,10,1,10,2,1,3,7,12,2,0,2,0
MY,2,1,5,5,5,3,4,5,6,4,3,2,1,2,23,1,10,3,70,2,1,2,18,14,19,1,2,2
MY,4,5,5,6,5,3,6,7,2,2,4,2,2,2,27,1,10,0,10,2,1,3,14,6,8,0,0,0
MY,5,5,6,3,6,2,7,2,5,5,2,2,2,1,19,1,10,3,10,2,1,5,10,9,9,0,1,0
MY,5,7,1,7,4,5,4,7,7,7,4,1,2,2,20,1,10,2,10,2,1,4,23,16,12,2,3,1
MY,3,5,6,5,5,1,6,6,3,1,4,2,2,2,27,3,10,4,10,2,2,7,22,10,8,2,2,0
MY,1,4,5,7,5,6,6,5,4,4,3,1,1,2,22,1,10,5,70,2,1,5,19,18,30,2,3,4
US,2,3,1,2,6,4,7,4,4,2,3,3,2,2,24,1,10,1,10,2,1,4,22,22,24,2,4,3
MY,1,3,5,6,7,4,4,3,1,3,3,3,2,1,18,1,10,5,10,2,1,4,33,38,40,3,4,4
MY,2,5,6,7,7,7,6,7,4,5,0,3,1,2,24,1,10,1,10,2,1,2,26,15,16,3,3,2
MY,4,6,6,3,6,6,5,5,6,4,3,2,1,2,22,1,10,1,10,2,1,5,5,2,2,0,0,0
MY,6,3,6,7,5,4,6,5,6,4,2,2,2,2,19,1,10,0,10,2,1,5,21,12,13,2,2,1
MY,5,6,7,6,5,4,7,6,1,1,2,2,2,2,18,1,10,1,10,2,1,5,35,29,32,4,4,4
MY,4,5,5,6,3,2,4,4,3,6,2,3,2,2,17,1,10,4,10,2,1,4,31,26,35,3,4,4
MY,2,4,5,6,3,7,6,5,4,5,2,2,2,2,16,1,10,1,10,2,1,4,25,19,21,2,3,3
MY,6,2,6,7,6,1,7,7,3,4,1,3,2,2,16,1,10,1,10,2,1,11,29,27,18,3,4,2
MY,5,6,5,6,4,2,5,6,4,3,2,3,2,1,18,1,10,1,10,2,1,4,26,16,22,3,3,3
MY,4,2,6,6,7,5,7,5,4,4,4,3,2,2,24,2,10,2,10,2,1,5,16,5,14,1,0,2
MY,6,6,4,6,4,5,6,5,4,7,2,1,2,2,19,2,10,1,10,2,1,3,15,7,26,1,0,3
MY,3,4,6,7,6,7,6,4,1,5,4,3,2,2,23,1,10,1,70,2,1,7,39,39,40,4,4,4
MY,1,5,2,7,5,5,6,7,5,7,2,2,2,1,23,1,10,1,10,2,1,9,28,31,31,3,4,4
MY,4,5,1,7,5,4,6,6,5,6,1,3,2,2,16,1,10,1,10,2,1,6,21,14,13,2,2,1
MY,5,6,4,6,5,5,6,6,1,6,2,3,2,2,19,1,10,1,10,2,1,2,34,20,34,4,4,4
MY,6,7,6,5,7,1,6,2,4,3,3,3,2,2,19,1,10,3,10,2,1,5,17,16,10,1,3,1
MY,2,3,6,7,1,5,3,6,3,6,1,2,2,2,16,1,10,5,10,2,1,4,17,18,10,1,3,1
MY,1,3,7,7,5,6,5,5,3,3,3,2,2,2,23,1,10,4,10,2,1,5,30,30,31,3,4,4
NZ,1,5,6,5,7,6,6,5,4,3,2,3,1,2,18,1,10,3,10,2,1,5,17,17,17,1,3,2
MY,5,6,7,7,3,4,2,4,1,4,2,2,1,2,17,1,10,1,10,2,1,0,32,15,35,3,3,4
MY,6,2,7,1,7,1,6,1,7,4,4,1,2,2,22,1,10,3,10,2,1,5,0,1,0,0,0,0
MY,3,5,6,6,3,2,4,5,3,6,3,3,2,2,20,1,10,1,10,2,1,4,13,17,30,0,3,4
MY,3,5,6,2,5,7,5,4,5,4,3,2,2,2,24,1,10,1,10,2,1,4,2,1,3,0,0,0
MY,3,3,2,6,4,5,5,5,3,6,2,2,1,2,18,1,10,1,10,2,1,5,22,15,24,2,3,3
MY,2,4,2,6,3,5,7,2,6,7,2,3,2,2,16,1,10,0,10,2,1,7,23,25,22,2,4,3
MY,6,2,4,1,6,2,2,1,7,2,3,3,2,1,21,1,10,1,10,1,1,4,3,1,1,0,0,0
MY,6,4,6,2,7,2,5,4,5,6,2,2,2,1,16,1,10,1,10,2,1,3,14,6,7,0,0,0
MY,6,2,6,6,4,4,7,5,3,7,3,2,1,2,34,1,4,1,70,1,2,5,17,9,8,1,1,0
MY,4,4,5,5,4,6,7,6,7,5,2,3,2,2,16,1,10,5,10,2,1,3,14,9,14,0,1,2
ID,1,4,3,5,5,7,5,6,4,1,2,3,2,2,19,1,10,1,10,1,1,4,12,15,29,0,3,4
MY,1,1,6,5,5,7,7,3,7,3,3,2,2,2,22,1,10,1,10,2,1,5,27,13,28,3,2,4
MY,5,1,7,3,7,4,6,5,5,5,4,2,2,2,24,1,10,1,70,2,1,5,11,11,16,0,2,2
MY,5,2,6,6,3,4,6,4,3,5,3,1,2,2,21,1,10,1,10,2,1,3,11,7,2,0,0,0
US,5,6,4,6,3,7,5,3,2,2,2,2,2,2,19,1,4,2,10,1,1,3,20,2,16,2,0,2
GB,1,6,2,7,2,7,6,7,3,3,2,3,1,1,19,1,2,1,60,1,1,2,16,29,25,1,4,3
NONE,6,7,1,6,7,1,7,1,1,1,3,3,2,2,21,1,8,1,10,2,1,2,23,8,11,2,1,1
ES,1,6,4,7,1,7,2,7,1,1,2,3,2,2,17,1,2,2,60,2,1,2,38,37,40,4,4,4
MY,3,5,6,7,6,6,6,5,3,5,4,2,2,1,22,1,10,4,70,2,1,6,19,12,15,2,2,2
MY,5,3,5,2,6,5,5,6,6,4,2,3,2,2,16,1,10,1,10,2,1,3,5,6,8,0,0,0
MY,4,4,6,7,5,1,4,5,4,6,3,1,2,2,21,1,10,4,10,2,1,3,23,9,17,2,1,2
MY,3,7,7,7,3,3,5,5,3,5,2,3,1,2,22,1,10,5,10,2,1,3,27,21,25,3,4,3
MY,5,5,5,6,4,3,6,7,3,6,2,2,1,2,19,1,10,1,10,2,1,4,19,7,16,2,0,2
GB,3,1,5,5,6,5,7,5,5,1,2,3,2,1,20,1,2,2,70,1,1,2,14,5,4,0,0,0
MY,4,4,5,6,5,7,2,2,6,2,2,3,1,2,19,1,10,0,10,2,1,3,18,9,20,1,1,2
MY,6,5,1,5,6,6,6,6,5,3,3,3,1,2,26,1,10,1,10,2,1,7,13,19,23,0,3,3
MY,5,7,3,7,4,3,5,5,1,5,2,2,2,2,19,1,10,2,10,2,1,4,36,30,33,4,4,4
MY,5,6,4,5,5,4,5,6,6,5,2,3,2,2,16,1,10,1,10,2,1,5,11,13,5,0,2,0
MY,6,5,5,7,5,3,5,7,4,4,3,2,2,2,22,2,10,1,10,2,1,9,27,31,29,3,4,4
MY,2,2,6,7,6,6,7,4,4,4,2,3,2,2,17,1,10,2,10,2,1,3,21,25,26,2,4,3
MY,2,3,6,4,4,4,5,5,3,6,1,3,2,2,17,1,10,1,10,2,1,4,13,13,4,0,2,0
BN,4,4,5,7,5,6,7,6,2,3,2,2,2,2,16,1,10,0,10,2,1,5,31,31,40,3,4,4
US,4,4,5,5,3,7,6,5,4,4,2,3,2,1,20,1,12,5,70,1,1,2,27,28,24,3,4,3
BR,1,5,2,4,2,7,3,5,2,4,1,3,1,2,14,1,1,3,70,2,1,2,24,3,35,2,0,4
US,4,3,1,5,6,4,5,7,2,1,2,3,2,1,14,1,1,1,60,2,1,2,23,8,25,2,1,3
MY,4,6,6,6,4,4,6,6,2,5,3,2,2,2,20,1,10,1,10,2,1,4,25,18,6,2,3,0
PE,2,2,2,1,6,7,5,7,4,3,3,3,2,2,23,1,7,2,70,1,1,1,3,1,28,0,0,4
MY,7,1,5,7,1,7,7,7,7,7,2,1,2,2,16,1,10,5,10,2,1,2,42,35,42,4,4,4
MY,1,2,5,5,5,5,5,5,6,6,0,3,2,1,19,1,10,0,10,2,1,5,13,10,12,0,2,1
MY,6,6,1,7,2,7,7,3,2,5,3,3,2,2,22,2,10,5,10,2,1,8,42,35,40,4,4,4
MY,5,4,5,5,5,5,5,5,5,4,3,1,2,1,21,1,10,5,10,2,1,7,11,7,9,0,0,0
MY,2,6,5,7,1,1,5,4,1,7,2,2,2,2,20,1,10,0,10,2,1,3,22,19,22,2,3,3
MY,4,6,4,7,4,6,7,6,4,7,2,3,2,2,20,1,10,2,10,2,1,4,38,36,32,4,4,4
MY,3,6,7,7,7,6,6,5,2,2,3,1,1,2,27,1,10,2,10,2,1,3,30,18,23,3,3,3
MY,2,6,1,7,3,7,6,7,7,7,2,3,2,2,23,1,10,3,10,2,1,6,24,17,30,2,3,4
MY,6,4,7,1,6,5,7,6,7,4,3,3,1,2,25,1,10,1,10,2,1,5,0,3,3,0,0,0
US,6,7,5,6,7,6,7,7,6,3,2,2,2,1,19,1,7,5,30,1,1,1,33,27,20,3,4,2
MY,4,4,6,2,4,1,5,7,3,1,3,3,2,1,21,1,10,3,10,2,1,6,9,4,8,0,0,0
MY,6,4,5,6,5,7,6,4,4,5,2,1,2,2,20,1,10,0,10,2,1,1,18,15,24,1,3,3
MY,4,7,6,4,6,4,5,7,5,6,2,1,2,2,20,1,10,1,10,2,1,1,6,5,12,0,0,1
MY,6,6,7,7,6,6,7,6,6,5,3,1,2,2,22,1,10,4,10,2,1,7,34,36,36,4,4,4
MY,6,6,6,7,4,7,7,4,4,3,3,1,1,2,19,1,10,2,10,2,1,7,25,26,9,2,4,0
MY,7,5,6,7,7,3,7,5,2,1,3,3,2,2,19,0,10,1,10,2,1,3,14,8,9,0,1,0
MY,2,2,3,6,2,6,3,6,2,5,2,2,2,2,19,1,10,1,10,2,1,5,22,23,28,2,4,4
US,2,4,6,4,5,4,3,5,3,3,1,2,2,1,15,1,7,0,60,2,1,2,23,18,13,2,3,1
MY,4,6,5,6,5,4,4,7,6,4,3,3,2,2,25,1,10,2,10,2,1,3,30,18,38,3,3,4
MY,6,4,7,4,7,6,7,4,5,1,3,2,1,2,23,2,10,1,10,1,1,4,26,18,32,3,3,4
MY,7,6,7,7,7,1,2,7,5,2,2,3,2,2,22,1,10,1,10,2,1,4,17,9,3,1,1,0
MY,4,5,5,7,4,4,7,5,4,3,2,1,2,2,20,1,10,3,10,2,1,5,30,19,19,3,3,2
MY,7,6,0,7,5,1,2,6,2,6,1,2,2,1,16,1,10,1,10,2,1,4,30,29,19,3,4,2
MY,6,1,4,3,5,6,7,4,6,4,3,2,1,2,20,1,10,1,10,2,1,4,12,0,8,0,0,0
MY,6,5,7,1,5,3,5,2,7,4,2,2,1,2,19,1,10,1,70,2,1,6,1,1,0,0,0,0
MY,5,3,5,3,5,2,7,5,6,5,4,2,2,1,24,1,10,4,70,2,1,6,19,22,12,2,4,1
MY,5,4,5,7,5,3,5,4,3,6,2,3,2,2,16,1,10,4,10,2,1,4,32,32,26,3,4,3
JP,1,1,4,1,4,3,4,5,6,5,2,2,2,2,20,1,10,4,70,2,1,5,3,1,1,0,0,0
NONE,1,5,6,7,3,7,6,6,2,2,2,2,2,1,13,1,2,5,60,2,1,1,41,40,42,4,4,4
MY,2,3,5,6,6,7,4,7,2,5,3,1,2,2,21,1,7,1,10,2,1,3,36,27,42,4,4,4
MY,3,3,2,7,2,3,6,7,1,1,2,3,2,2,17,1,10,2,10,2,1,1,34,36,31,4,4,4
MY,4,4,6,4,6,5,7,2,6,5,4,2,2,2,24,1,10,1,10,2,1,4,16,8,25,1,1,3
MY,7,7,5,4,7,7,7,6,4,3,2,3,1,2,18,1,10,1,10,2,1,4,14,10,2,0,2,0
US,2,4,5,5,4,5,5,1,1,4,1,1,2,1,16,1,7,2,60,2,1,3,39,27,42,4,4,4
MY,5,6,7,7,7,6,6,1,5,5,4,2,2,1,24,1,10,1,10,2,1,3,36,22,32,4,4,4
MY,7,1,6,6,6,1,7,2,3,5,3,3,2,2,22,1,10,1,10,2,1,3,21,22,27,2,4,3
MY,0,0,0,7,0,5,2,0,3,0,2,0,2,2,16,2,10,0,10,2,1,3,29,34,35,3,4,4
MY,5,6,5,7,6,7,7,7,2,4,3,2,2,2,20,1,10,2,10,2,1,4,41,41,41,4,4,4
MY,2,5,6,6,5,6,5,4,3,3,3,1,1,2,24,1,10,1,70,2,1,8,15,11,16,1,2,2
MY,6,5,7,5,5,4,4,3,6,4,4,3,2,2,31,1,10,1,10,1,2,5,10,8,9,0,1,0
MY,6,3,7,5,6,3,7,5,5,3,3,2,2,2,20,1,10,1,70,2,1,4,14,8,7,0,1,0
MY,6,3,7,4,7,5,7,4,6,4,3,3,2,2,21,1,10,1,10,2,1,3,17,13,16,1,2,2
MY,5,5,4,6,5,3,5,6,2,5,2,3,2,2,20,1,10,1,10,2,1,3,31,24,19,3,4,2
MY,3,5,5,6,6,6,3,6,5,3,2,3,2,2,19,1,10,1,10,2,1,5,23,20,27,2,4,3
MY,4,5,6,6,5,5,6,4,4,5,3,2,2,2,22,1,10,1,10,2,1,3,26,22,25,3,4,3
MY,5,6,3,2,6,5,6,5,5,6,0,2,1,2,19,1,10,1,10,2,1,4,5,5,14,0,0,2
SG,2,4,1,7,5,6,5,7,3,7,3,3,2,1,27,1,6,1,10,2,1,2,33,23,28,3,4,4
MY,4,5,3,4,5,6,5,3,4,3,3,1,2,2,21,1,10,0,10,2,1,6,28,20,12,3,4,1
MY,4,5,6,5,7,5,6,7,4,6,2,3,2,2,16,0,10,1,10,2,1,3,18,11,25,1,2,3
EG,5,6,5,6,5,5,6,4,1,3,2,3,2,2,21,1,10,2,20,2,1,5,32,22,35,3,4,4
MY,5,4,2,6,4,4,6,5,4,4,2,3,2,2,19,1,10,1,10,2,1,5,21,14,15,2,2,2
MY,6,4,6,3,5,6,5,3,6,3,2,2,2,2,18,3,10,3,10,2,1,4,16,15,14,1,3,2
MY,6,2,6,5,5,7,6,3,5,5,2,2,2,2,18,1,10,0,70,2,1,4,3,6,0,0,0,0
MY,2,1,6,1,5,2,4,3,6,3,2,2,1,2,18,2,10,1,10,2,1,4,10,10,3,0,2,0
MY,3,7,4,7,3,3,7,7,1,3,3,2,2,2,21,2,10,1,10,2,1,3,41,29,35,4,4,4
MY,5,5,7,6,7,4,5,3,5,4,2,1,2,2,15,1,10,5,10,2,1,3,16,10,7,1,2,0
MY,5,6,6,5,7,7,7,3,6,5,2,3,2,2,19,1,10,1,10,2,1,5,4,2,1,0,0,0
MY,5,4,6,6,5,6,6,5,4,5,3,1,1,2,18,1,10,1,10,2,1,5,33,33,21,3,4,3
SG,6,4,6,5,5,2,6,5,2,5,1,3,2,1,14,1,5,1,10,2,1,6,20,13,36,2,2,4
MY,2,4,4,6,6,5,6,5,1,3,2,2,1,2,24,1,10,1,10,2,1,5,29,16,22,3,3,3
MY,1,6,7,7,1,3,7,7,2,7,2,3,2,2,17,1,10,5,10,2,1,5,40,33,33,4,4,4
MY,6,1,7,5,7,6,7,5,7,5,2,2,2,2,19,1,10,2,10,2,1,4,3,5,2,0,0,0
MY,6,4,6,5,6,7,7,5,4,4,2,3,1,2,19,1,10,3,10,2,1,4,16,19,19,1,3,2
MY,7,6,5,6,7,2,6,5,3,5,2,2,1,2,18,1,10,2,10,2,3,4,22,14,16,2,2,2
MY,5,4,5,4,6,4,5,4,4,3,2,3,1,2,19,2,10,1,10,2,1,4,22,16,25,2,3,3
MY,2,5,6,7,5,7,7,3,1,3,3,1,2,2,22,2,10,1,10,2,1,6,30,11,14,3,2,2
MY,5,5,5,6,6,4,7,3,2,6,2,1,2,2,20,1,10,1,10,2,1,6,27,29,30,3,4,4
MY,5,6,3,7,5,5,6,7,5,7,2,2,2,2,21,1,10,1,10,2,1,2,22,12,15,2,2,2
MY,4,3,4,5,4,4,5,4,4,4,2,2,2,2,19,1,10,1,10,2,1,9,14,15,17,0,3,2
MY,5,5,4,5,4,5,7,5,4,6,2,3,1,2,18,1,10,2,70,2,1,0,9,6,3,0,0,0
MY,2,5,1,7,5,3,6,4,3,4,2,3,2,2,19,1,10,1,10,2,1,8,21,7,18,2,0,2
MY,2,4,3,7,3,6,5,5,1,6,1,2,2,2,16,1,10,4,10,2,1,3,28,18,18,3,3,2
MY,3,3,5,6,6,7,7,4,3,2,4,1,2,1,19,2,4,1,10,2,1,4,36,31,36,4,4,4
MY,2,6,2,4,1,4,4,6,5,6,3,3,2,2,21,1,10,1,10,2,1,3,14,12,24,0,2,3
MY,7,6,3,5,6,1,4,2,3,4,3,3,2,1,20,1,8,1,10,2,1,3,12,7,10,0,0,1
AU,2,6,7,1,7,5,5,5,6,3,3,3,2,2,23,1,6,1,10,1,1,2,6,6,2,0,0,0
MY,5,1,7,1,7,2,5,1,7,1,3,2,2,2,21,2,10,4,10,2,1,5,3,4,0,0,0,0
SD,7,6,6,5,7,6,7,2,5,1,3,3,2,2,23,1,10,1,30,2,1,5,14,24,29,0,4,4
MY,3,7,2,4,3,6,5,6,4,6,3,3,1,2,20,1,10,5,10,2,1,8,14,12,35,0,2,4
MY,5,1,5,4,5,1,4,1,6,4,3,3,2,2,19,1,10,5,10,2,1,3,9,2,4,0,0,0
