country,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,family_size,stress_score,anxiety_score,depression_score,stress_category,anxiety_category,depression_category
DO,3,6,3,4,4,7,3,4,3,3,3,2,2,2,24,1,1,1,70,1,1,4,8,9,33,0,1,4
US,3,5,2,7,5,3,4,6,2,2,2,2,2,1,18,1,12,1,60,2,1,1,28,22,14,3,4,2
NO,1,5,6,2,4,6,2,2,6,6,2,2,1,2,23,1,1,2,60,2,1,4,2,2,2,0,0,0
GR,5,7,5,1,3,1,1,1,4,1,2,3,2,2,22,3,1,1,60,1,1,2,23,2,40,2,0,4
US,4,5,6,6,4,5,6,4,5,3,3,3,2,1,61,2,4,1,60,1,2,2,9,2,3,0,0,0
GR,2,4,1,5,6,4,3,6,6,3,3,3,2,2,21,1,1,1,60,1,1,2,20,15,13,2,3,1
IN,5,2,1,2,7,6,6,7,4,3,2,3,1,2,20,1,2,2,10,2,1,3,29,35,38,3,4,4
US,4,5,6,5,7,5,3,6,6,1,3,1,1,1,23,1,12,1,60,1,1,2,8,8,6,0,1,0
US,1,6,7,1,5,6,5,3,7,2,2,1,2,1,17,1,7,4,60,2,1,6,8,2,5,0,0,0
MY,3,5,6,6,6,7,6,5,5,6,4,3,2,2,23,1,10,0,10,2,1,4,20,14,16,2,2,2
US,2,4,3,5,2,6,3,2,6,3,1,1,3,1,16,1,1,4,60,2,1,3,27,17,33,3,3,4
US,6,5,4,1,6,1,3,5,7,2,2,2,1,1,21,1,1,1,60,2,1,3,6,1,9,0,0,0
US,5,7,2,6,6,6,2,7,1,2,4,3,2,2,26,1,1,2,50,1,1,2,20,9,18,2,1,2
US,2,5,1,6,4,6,6,5,4,4,2,2,1,1,40,1,2,1,60,1,3,2,18,9,26,1,1,3
US,7,4,6,1,6,3,4,2,6,1,2,2,1,1,18,1,7,1,30,2,1,2,0,1,0,0,0,0
US,2,1,4,5,4,6,7,3,5,1,1,2,2,1,16,1,12,1,60,2,1,2,14,17,26,0,3,3
US,3,2,6,4,6,6,7,3,6,2,3,3,2,1,20,1,2,2,60,1,1,4,27,29,39,3,4,4
DE,5,6,4,5,7,6,5,1,4,2,3,3,2,2,27,1,3,2,60,2,1,2,22,8,5,2,1,0
US,3,3,7,5,5,7,7,1,3,4,3,1,2,1,22,1,12,1,60,1,1,3,28,12,6,3,2,0
US,1,1,4,1,4,6,2,6,4,7,3,3,1,1,28,1,2,1,30,2,1,3,6,7,31,0,0,4
CA,6,5,3,7,7,6,7,7,2,1,2,2,2,2,17,1,10,2,10,2,1,2,38,35,42,4,4,4
US,2,3,4,4,6,5,4,4,4,1,3,3,2,1,22,1,12,2,60,1,1,2,18,5,17,1,0,2
US,2,2,2,5,5,6,6,1,5,2,2,2,2,2,15,1,4,1,70,2,1,2,25,25,14,2,4,2
US,3,3,4,7,3,7,5,6,2,7,2,2,2,1,15,1,7,1,60,2,1,3,27,37,30,3,4,4
US,6,4,7,1,6,4,1,1,6,2,2,3,1,2,18,1,7,1,70,2,1,2,2,1,0,0,0,0
US,5,2,7,5,5,3,7,2,5,5,3,3,2,1,60,1,4,1,60,1,1,2,6,0,15,0,0,2
LK,2,7,4,6,4,2,2,3,2,5,2,3,2,2,18,1,12,2,70,2,1,2,38,17,40,4,3,4
GB,2,5,4,7,4,6,4,4,3,7,3,3,2,1,20,1,1,1,60,2,1,3,19,27,17,2,4,2
BR,5,2,2,1,4,5,2,6,7,4,2,3,1,1,20,2,2,3,70,1,1,2,5,3,4,0,0,0
US,7,6,3,6,4,1,7,5,3,2,1,2,2,1,14,1,4,1,70,2,1,6,31,10,20,3,2,2
US,6,6,5,4,7,2,5,3,5,4,1,2,2,1,16,1,7,2,10,2,1,3,23,19,12,2,3,1
US,1,6,5,3,5,5,1,3,6,2,1,2,2,2,14,1,1,4,10,2,1,2,28,10,8,3,2,0
US,6,5,6,3,7,6,5,5,4,6,3,1,2,1,21,1,1,3,60,1,1,8,18,14,37,1,2,4
US,4,4,6,7,6,7,5,4,4,1,2,3,2,2,15,1,4,2,70,2,1,3,39,32,26,4,4,3
US,2,5,6,5,7,6,5,6,5,3,1,2,2,1,14,1,2,4,60,2,1,4,22,10,33,2,2,4
US,1,3,5,6,6,7,2,7,1,2,2,3,1,1,17,1,1,1,30,2,1,3,39,36,42,4,4,4
US,1,2,5,7,1,6,5,6,1,4,2,2,2,1,15,1,2,5,60,2,1,2,36,39,41,4,4,4
US,6,4,6,0,5,4,5,5,4,2,2,2,1,1,18,1,1,1,30,2,1,2,5,0,3,0,0,0
US,1,5,2,7,3,7,3,5,1,3,2,1,2,1,20,2,7,1,60,2,1,2,20,24,18,2,4,2
US,7,5,6,1,5,2,3,1,7,1,3,3,2,1,24,1,2,2,60,1,1,1,12,6,17,0,0,2
US,7,1,7,5,7,2,7,5,5,1,4,1,1,1,40,1,4,1,60,1,2,4,21,7,8,2,0,0
IN,1,1,4,7,4,7,7,4,1,4,4,2,2,2,37,1,8,1,10,2,3,2,35,41,39,4,4,4
AR,2,6,1,7,1,5,2,6,7,6,2,2,1,2,22,1,1,1,60,2,1,3,5,13,32,0,2,4
US,4,1,7,3,6,5,4,3,3,2,2,2,1,1,18,1,2,1,70,2,1,2,27,19,27,3,3,3
KH,1,5,6,6,5,7,5,1,3,3,3,2,2,1,23,1,6,3,60,1,1,3,19,18,23,2,3,3
US,1,1,1,6,6,7,5,4,1,4,4,2,1,1,46,1,6,1,60,1,3,3,14,3,30,0,0,4
US,6,6,3,5,7,3,6,3,3,5,3,2,1,1,57,1,4,1,60,1,2,12,5,3,29,0,0,4
US,1,1,7,5,4,7,7,1,7,4,4,3,1,1,26,2,2,1,60,2,1,1,3,0,0,0,0,0
US,3,4,7,2,6,7,7,1,6,5,2,3,2,1,41,1,7,1,30,1,2,7,5,2,1,0,0,0
GB,2,4,7,3,2,7,5,5,5,1,2,1,2,2,17,1,7,1,60,2,1,2,3,3,10,0,0,1
BR,2,1,3,2,7,6,7,5,7,2,3,1,2,2,22,1,4,1,60,2,1,2,1,3,2,0,0,0
US,1,6,7,5,2,6,2,1,3,3,4,3,2,1,55,1,7,1,60,1,2,1,22,1,25,2,0,3
US,7,6,5,4,6,2,6,6,5,1,2,2,2,1,27,2,4,2,60,1,1,1,23,2,11,2,0,1
US,3,5,6,6,7,2,6,6,3,2,2,2,2,1,19,1,2,1,10,1,1,3,8,10,11,0,2,1
